PLUGIN_ID,NAME,SEGMENT_CALCD_VIEWS,PRODUCT_CALCD_VIEWS
804835966394218649,Pinterest Design System Documentation,37,1086
812052673949669543,Color import,2942,109283
801190063501003437,DND Dice Roller,414,25296
812760301049951522,GitHub Data,43,1328
811313138255168556,blokdots,1571,79555
809550652413909809,Play Data,54,2062
816627069580757929,Style Organizer,25481,823547
819711000718921105,Masonry Grid Layout Organizer,5013,178236
760966234320559456,Structure,6773,246524
822721538784122690,Custom Frame Presets,10843,376732
831000487189051522,Figma Tetris,1232,64133
822510512624050988,Accessibility Labels (Beta),1867,43314
835161939850128207,Applanga Localization Plugin,1537,59365
837733390949354788,Label Maker,4131,151296
879821801522955873,Styles Updater,85,2340
843423036468250072,Aspect Ratio,2980,106267
848873559411765651,Retro Super Storm,4313,145723
864991732758589700,[TESTING ONLY] Basic Photo Fill,18,415
846718315230806058,Icon Font,35,991
876119978690687541,Heroicons,4546,154775
892976690608849905,Doppel | Visually compare your design to live product [WIP],491,27661
893903420585768458,Atlas – Theme Manager,4260,146592
902526218387855663,Instant Website Beta,3458,125669
911261236876701307,Artboard Tricks,841,29619
914985264893745476,Copy Text,4,264
908415905821759633,Slazzer,5617,305630
940961374949403075,DPD Insight,13,332
946636464561956851,Semi Pro,2,57
953318991680776075,Nicolas Cage Image Replacer,780,35314
952689592792995578,Scribe,1319,52738
960823592135703584,test-test,2,61
964909141687126454,Creative Market,7,106
971874191537332959,Spreetail Handoff,12,304
781017118947202678,Generate Palette,1786,72046
801366561098649280,Resize Auto Layout,2194,85733
815459412677630743,Contrast,335,8470
747985167520967365,"Figma to HTML, CSS, React & more!",207228,6868119
760351147138040099,Inspector,4202,154148
768262762486932527,Frame Tags,9026,299494
801636110869945058,Rosetta,15,653
773254113156648564,Airstream,2377,91740
795733302011238428,Inter Letter Spacing,1837,69482
822870835609281391,Focus,9,287
848477408824641899,Define,2152,72409
851010507827385102,IOS Android switcher,18,324
855838891446477548,Aspect Ratio,156,3767
851183094275736358,Figma to HTML,178528,6904466
844697202715835091,Maximum Override,1973,68409
867577812066716451,Step by stepper,1849,58127
740005901564498784,Slack Kit Toolbox,26,655
849159306117999028,Convertify Figma to Sketch/XD,70455,2247550
872870740986309480,Live Dates,23,460
